price,days_on_shelf,rating_score,review_count,is_brand,shop_level,shop_followers,shop_good_rate,ad_spend,impressions,ctr,category_competition,is_campaign,category_avg_price,sales_count
62,320,4.685463937612944,3229,0,3,40049,0.8677964000960228,683,183120,0.1084324821259417,1387,0,428,1494.5894569286636
391,23,3.892778984287419,3580,0,3,74340,0.9693192208911174,14414,803021,0.07719044508568033,2907,0,406,2344.248140297025
334,145,4.905950323120207,1337,1,1,9023,0.7834175407153452,4279,574493,0.024260607773723842,4819,1,550,1337.023822364962
230,167,4.3015891794354735,1785,1,1,90167,0.7077932679839682,14224,41954,0.1982846773468208,3570,0,238,2181.0492874313345
227,291,3.231797730638499,4725,0,3,51603,0.9326965011051764,11291,720340,0.04320700807775921,1591,0,459,1978.9895282714504
432,47,4.770185976453601,4259,1,3,59906,0.9107132979915915,4053,879396,0.058508610245448324,3401,0,159,2025.3605579498767
61,158,3.978530381661596,2065,1,3,19020,0.863647493702258,9390,222259,0.05482399487397738,4835,1,564,1449.3839713349148
354,56,3.2832779359458097,1204,0,1,52904,0.9446028189187637,733,968597,0.1825088672702836,1247,1,77,1987.1179127766322
116,287,3.3053802676828417,1506,1,3,415,0.9520253117944397,14036,798571,0.15510079461747078,1200,1,457,1864.4634857363976
65,231,4.375067870219744,2691,0,1,89027,0.8763709924054521,6075,742414,0.09689266189347395,243,0,87,2343.24828077544
272,181,3.0947450134589793,2833,1,1,74911,0.989778337556181,7669,336708,0.19153037645085325,4219,1,531,1812.869678397034
488,144,3.5731875298276266,920,0,3,45500,0.9159135842851982,3142,120793,0.020028842349423932,4171,0,576,756.6620424637716
373,56,3.2795751809397364,329,1,4,83600,0.9030626128487886,7299,429900,0.1797973724321139,2097,1,496,2267.8441747198676
385,336,3.8821548592345687,2476,1,4,81175,0.8084265377675935,7915,807568,0.02148119378075024,4367,0,479,2377.0506477378713
364,236,3.8287075439887226,3987,1,5,11995,0.7006775735800023,4499,587064,0.08431483222756711,3275,0,302,1580.8321230807996
397,117,4.043752869377712,762,1,5,5479,0.7722828021682534,19586,647841,0.020260926891533044,4895,1,169,1756.0395347010835
266,151,3.5592726582050602,2041,1,2,25430,0.929176152044389,5596,781235,0.1998041084339602,4617,1,591,1819.7028392217117
